	Name	Type	Unique_Private_key
0	Generic_Government	Government	G001
1	Deutsche Bank	Bank	B00012
2	Goldman Sachs	Bank	B00011
3	Credit Suisse	Bank	B00010
4	Société Générale	Bank	B00009
5	Barclays PLC	Bank	B00008
6	Mizuho Financial Group	Bank	B00007
7	Bank of America	Bank	B00006
8	BNP Paribas	Bank	B00005
9	HSBC Holdings PLC	Bank	B00004
10	JPMorgan Chase & Co.	Bank	B00003
11	Mitsubishi UFJ Financial Group	Bank	B00002
12	Bank of China	Bank	B00001
13	AISTEDA	University	U80282806
14	Abatz	Company	C37264217
15	Academy of International Economic and Political Relations, Gdynia	University	U10354247
16	Acharya Nagarjuna University	University	U87662629
17	Adler School of Professional Psychology	University	U22534560
18	Adnan Menderes University	University	U55035650
19	Adventist University of Africa	University	U58445753
20	Afghan University	University	U37721500
21	African Virtual University	University	U23217377
22	Aga Khan University	University	U40899243
23	Agimba	Company	C20247677
24	Agivu	Company	C96453177
25	Agricultural University of Cracow	University	U88659714
26	Agricultural University of Warsaw	University	U84840577
27	Agriculture and Forestry University	University	U37371449
28	Ahi Evran University	University	U52094461
29	Aibox	Company	C54234546
30	Aichi University of Education	University	U72794724
31	Ailane	Company	C38221882
32	Aimbo	Company	C9836979
33	Aimbu	Company	C34441469
34	Ainyx	Company	C6130982
35	Aivee	Company	C50128528
36	Ajman University of Science & Technology	University	U5751001
37	Al Ghurair University	University	U68134442
38	Al Maarif University College	University	U33765529
39	Alabama State University	University	U81378110
40	Alagappa University	University	U79839699
41	Alahgaff University	University	U45371656
42	Albany Medical Center	University	U48279973
43	Albert-Ludwigs-Universität Freiburg	University	U18479397
44	Aleksander Gieysztor School of Humanities in Pultusk	University	U2116538
45	Alfaisal University	University	U66070351
46	Allegheny College	University	U70081153
47	Alma College	University	U42122705
48	Alvernia College	University	U92337290
49	American InterContinental University - Atlanta	University	U3714878
50	American InterContinental University - Ft. Lauderdale	University	U10470580
51	American International University West Africa	University	U1573615
52	American Military University	University	U55547117
53	American University	University	U20013963
54	American University in Dubai	University	U38454965
55	American University of Armenia	University	U84567623
56	American University of Middle East	University	U20773720
57	American University of Paris	University	U57674630
58	Amirkabir University of Technology	University	U20149641
59	Anadolu University	University	U50636038
60	Anhui Medical University	University	U42035094
61	Arab Open University	University	U9374170
62	Arabian Gulf University	University	U38230616
63	Arba Minch University	University	U26838529
64	Aristotle University of Thessaloniki	University	U33085565
65	Arizona State University, Downtown Phoenix Campus	University	U30616127
66	Ashesi University	University	U57657218
67	Asian Medical Institute	University	U97517263
68	Astrakhan State University	University	U83576517
69	Athabasca University	University	U45622848
70	Athens University of Economics and Business	University	U47570893
71	Athlone Institute of Technology	University	U52938462
72	Atish Dipankar University	University	U65533706
73	Aurora University	University	U31075907
74	Avamba	Company	C94147615
75	Avamm	Company	C2275895
76	Avavee	Company	C47282115
77	Avaveo	Company	C8959656
78	Aventis School of Management	University	U64148694
79	Azerbaijan Technology University	University	U45108100
80	Azusa Pacific University	University	U39201044
81	Azzahra University	University	U3718510
82	Babbleblab	Company	C94847200
83	Babbleopia	Company	C69545535
84	Babbleset	Company	C31916186
85	Babblestorm	Company	C3717363
86	Baghlan University	University	U11082994
87	Bahauddin Zakariya University, Multan	University	U40856705
88	Bahrain Polytechnic	University	U81057548
89	Baiko Women's College	University	U55399246
90	Baku Slavic University	University	U91343472
91	Balkh University	University	U40146348
92	Ballsbridge University 	University	U63997829
93	Baltic State Technical University	University	U20426687
94	Banat's University of Agricultural Sciences	University	U45497954
95	Bangladesh Open University	University	U17502677
96	Bangladesh University of Professionals	University	U36282658
97	Baptist Bible College of Missouri	University	U83460402
98	Barton College	University	U13507858
99	Baskent University	University	U7775602
100	Bauchi State University, Gadau	University	U89996549
101	Bayan College for Science & Technology	University	U36094414
102	Beijing Institute of Technology	University	U70028209
103	Beijing Union University	University	U10137844
104	Belarussian State Agrarian Technical University	University	U49772459
105	Belarussian State Pedagogical University M. Tanka	University	U78624879
106	Belgorod State Agricultural Academy	University	U41686979
107	Belgorod State Technical University	University	U89129198
108	Belmont Abbey College	University	U33774774
109	Benguet State University	University	U11502084
110	Bila Cerkva State Agrarian University	University	U47109994
111	Bishkek Humanities University	University	U82155001
112	Blackburn College	University	U16901897
113	BlogXS	Company	C44147192
114	Blognation	Company	C94675455
115	Blogpad	Company	C95461679
116	Blogspan	Company	C40934815
117	Blogtag	Company	C32095228
118	Blogtags	Company	C14371125
119	Bloomfield College	University	U23346796
120	Blue Mountains Hotel School	University	U78536430
121	Bluejam	Company	C10695943
122	Bluezoom	Company	C38565642
123	Bosaso College	University	U1278551
124	Boston University	University	U59354502
125	Brainbox	Company	C50269905
126	Brainlounge	Company	C66146322
127	Brainsphere	Company	C17194228
128	Brainverse	Company	C82485648
129	Brandenburgische Technische Universität Cottbus	University	U37889677
130	Brexgata University Academy	University	U43816330
131	Brigham Young University	University	U67531663
132	Brightbean	Company	C13547590
133	Brightdog	Company	C92752521
134	British Malaysian Institute	University	U69212607
135	Brookdale Community College	University	U83955612
136	Browseblab	Company	C99039618
137	Browsebug	Company	C85893933
138	Browsecat	Company	C5718339
139	Browsedrive	Company	C75271009
140	Browsetype	Company	C97828093
141	Bryn Mawr College	University	U7541900
142	Bubblebox	Company	C1769980
143	Bubblemix	Company	C52904035
144	Bubbletube	Company	C40269027
145	Buckinghamshire New University	University	U55641900
146	Buddhasravaka Bhikshu University	University	U74330332
147	Buzzdog	Company	C77764870
148	Buzzshare	Company	C80548762
149	Buzzster	Company	C21700951
150	CCS Haryana Agricultural University	University	U59495303
151	COSMIQ Institute of Technology	University	U67922273
152	California Institute of the Arts	University	U31588340
153	California State University, Bakersfield	University	U99689862
154	Cambodia University of Specialties	University	U13520438
155	Camido	Company	C93395528
156	Camimbo	Company	C27867869
157	Camosun College	University	U18795955
158	Capitol University	University	U31856322
159	Carl von Ossietzky Universität Oldenburg	University	U41144895
160	Carnegie Mellon University	University	U58577744
161	Carson-Newman College	University	U52544891
162	Castleton State College	University	U47400320
163	Catholic University in Ružomberok	University	U6459258
164	Catholic University of Korea	University	U50706814
165	Catholic University of Pusan	University	U31193900
166	Cecos Univeristy of Information Technology	University	U7210629
167	Centenary College of Louisiana	University	U47380297
168	Center for Entrepreneurship and Small Business Management	University	U73377623
169	Centidel	Company	C67527170
170	Centimia	Company	C99400552
171	Centizu	Company	C85817272
172	Central University for Nationalities	University	U9237065
173	Centre Universitaire d'Oum El Bouaghi	University	U19556383
174	Centre Universitaire de Technologie	University	U20141179
175	Chaminade University of Honolulu	University	U89371713
176	Champlain College	University	U80266776
177	Chang Gung University	University	U84020345
178	Changchun Teachers College	University	U1828304
179	Chatterbridge	Company	C51133983
180	Chatterpoint	Company	C41402420
181	Cheyney University of Pennsylvania	University	U63427004
182	Chiba University	University	U42771323
183	China University of Mining Technology - Xuzhou	University	U66742423
184	Chongqing Medical University	University	U63418100
185	Chongqing Normal University	University	U16372481
186	Chongqing University of Communications	University	U44358326
187	Chubu University	University	U23904061
188	Chulalongkorn University	University	U29918667
189	Cihan University	University	U90950729
190	Circleville Bible College	University	U50660149
191	City University of New York, Graduate School and University Center	University	U65323259
192	Claflin College	University	U20054798
193	Clark Atlanta University	University	U30738053
194	Clark University	University	U30312947
195	Coastal Carolina University	University	U67727113
196	Cogibox	Company	C49716193
197	Cogidoo	Company	C12769489
198	Cogilith	Company	C50733348
199	College of Busniess Admnistration	University	U4213894
200	College of Nursing and Allied Health Scinces	University	U2946793
201	College of Technology at Jeddah	University	U18186616
202	College of Telecommunication & Information 	University	U85473548
203	Colorado School of Mines	University	U41791318
204	Colorado State University-Pueblo	University	U94771255
205	Columbia College South Carolina	University	U3975360
206	Columbus University	University	U25395225
207	Concordia College, Bronxville	University	U32821948
208	Concordia College, Seward	University	U76840914
209	Concordia College, St. Paul	University	U7755705
210	Concordia University, Irvine	University	U91535929
211	Conservatorio del Tolima	University	U9364450
212	Copenhagen Business School	University	U48773877
213	Cornell College	University	U47796778
214	DabZ	Company	C69424172
215	Dabfeed	Company	C92377484
216	Dabjam	Company	C8921738
217	Dablist	Company	C25152174
218	Dabshots	Company	C52904309
219	Dabtype	Company	C98555577
220	Dabvine	Company	C78370172
221	Dadabhoy Institute of Higher Education	University	U99838855
222	Dalian University of Foreign Language	University	U47493520
223	Dallas Christian College	University	U49293431
224	Davenport College of Business, Lansing	University	U97031930
225	Davis and Elkins College	University	U40247279
226	Dazzlesphere	Company	C54637813
227	De La Salle University	University	U85168902
228	DeVry Institute of Technology, Chicago	University	U90519931
229	DeVry Institute of Technology, Columbus	University	U90615770
230	Delaware State University	University	U96500759
231	Demivee	Company	C95233394
232	Demizz	Company	C98672757
233	Deutsche Sporthochschule Köln	University	U11458251
234	Devbug	Company	C80417610
235	Devcast	Company	C83381371
236	Devify	Company	C6546749
237	Devpoint	Company	C35808862
238	Devpulse	Company	C99528065
239	Digitube	Company	C34888895
240	Divanoodle	Company	C55262115
241	Divape	Company	C7090371
242	Divavu	Company	C59946889
243	Divine Word University	University	U61826510
244	Donetsk State Medical University	University	U20249244
245	Dong-A University	University	U14971468
246	Dongbei University of Finance And Economics	University	U90247131
247	Donghua University, Shanghai	University	U58761642
248	Dordt College	University	U5092476
249	Dr. Babasaheb Ambedkar Marathwada Universtiy	University	U15133344
250	Dr. YS Parmar University of Horticulture and Forestry	University	U40889044
251	Drake University	University	U61159616
252	Duksung Women's University	University	U8504796
253	Dynabox	Company	C33828919
254	Dynava	Company	C30640160
255	Dynazzy	Company	C10093745
256	Eabox	Company	C83590193
257	Eadel	Company	C55462538
258	Eare	Company	C93362437
259	East Central University	University	U7071449
260	East China Jiao Tong University	University	U78353901
261	East China Normal University	University	U7444714
262	East-Siberian State University of Technology	University	U31696839
263	Eastern Mediterranean University	University	U47178889
264	Eayo	Company	C3655789
265	Eazzy	Company	C58757169
266	Ecole Centrale de Lyon	University	U1222718
267	Ecole Centrale de Nantes	University	U63233893
268	Ecole Européen des Affaires	University	U33218369
269	Ecole Française de Papeterie et des Industries Graphiques	University	U48100485
270	Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique	University	U12532339
271	Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble	University	U97206562
272	Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble	University	U12391151
273	Ecole Nationale Supérieure de Chimie de Lille	University	U47584229
274	Ecole Nationale Supérieure de Chimie de Paris	University	U68861647
275	Ecole Nationale Supérieure des Telecommunications de Bretagne	University	U17786327
276	Ecole Polytechnique Universitaire de Lille	University	U42208843
277	Ecole Superieure Robert de Sorbon	University	U75450069
278	Ecole Supérieure Internationale d'Administration des Entreprises	University	U5546047
279	Ecole Supérieure d'Electronique de l'Ouest	University	U19080323
280	Ecole Supérieure d'Ingénieurs en Génie Electrique	University	U66100988
281	Ecole Supérieure de Commerce de Lille	University	U19144681
282	Ecole Supérieure de Commerce de Rouen	University	U60588106
283	Ecole Supérieure de Commerce de Toulouse	University	U76495802
284	Edgeblab	Company	C8732350
285	Edgeclub	Company	C29878178
286	Edgeify	Company	C32094320
287	Edgepulse	Company	C34737046
288	Edgetag	Company	C34210329
289	Edgewire	Company	C50567653
290	Ege University	University	U34383585
291	Ehime University	University	U66638295
292	Eidel	Company	C15220374
293	Eimbee	Company	C35474181
294	Eindhoven University of Technology	University	U76998006
295	Einti	Company	C20297113
296	El Shorouk Academy	University	U81012686
297	Elmira College	University	U73532657
298	Emanuel University	University	U17506399
299	Erskine College	University	U52631990
300	Escuela Agricola Panamericana Zamorano	University	U44622882
301	Escuela Politécnica del Ejercito	University	U66557531
302	Etisalat University College	University	U95047912
303	European Business School Schloß Reichartshausen	University	U97044277
304	European Regional Educational Academy of Armenia	University	U28764543
305	European University, Athens Campus	University	U53374236
306	Evangel University	University	U85925282
307	Evangelische Fachhochschule Nürnberg	University	U89866658
308	Ewha Women's University	University	U98448093
309	Eötvös Lorand University	University	U4459474
310	FAST - National University of Computer and Emerging Sciences (NUCES)	University	U10921445
311	Fachhochschule Bingen	University	U99932525
312	Fachhochschule Eberswalde	University	U45692176
313	Fachhochschule Flensburg	University	U67146261
314	Fachhochschule Gelsenkirchen	University	U62852999
315	Fachhochschule Heidelberg	University	U86064912
316	Fachhochschule Heilbronn, Hochschule für Technik und Wirtschaft	University	U95811701
317	Fachhochschule Krems	University	U98909039
318	Fachhochschule Lippe	University	U4211444
319	Fachhochschule Nordostniedersachsen	University	U80381870
320	Fachhochschule Offenburg, Hochschule für Technik und Wirtschaft	University	U14911347
321	Fachhochschule Rosenheim, Hochschule für Technik und Wirtschaft	University	U24784504
322	Fachhochschule Trier, Hochschule für Technik, Wirtschaft und Gestaltung	University	U49095994
323	Fachhochschule Würzburg - Schweinfurt	University	U43713393
324	Fachhochschule für Technik und Wirtschaft Berlin	University	U24768555
325	Fachhochschule für die Wirtschaft	University	U41753624
326	Fachhochschule und Berufskollegs NTA, Prof.Dr. Grübler gemein. GmbH	University	U70502302
327	Fachhochschulstudiengänge der Wiener Wirtschaft	University	U33956168
328	Faculdades Integradas UPIS	University	U49165257
329	Faculdades Integradas do Brasil - UNIBRASIL	University	U43813684
330	Facultés Universitaires Catholiques de Mons	University	U13560597
331	Fadeo	Company	C57111397
332	Fanoodle	Company	C12867344
333	Far Eastern State Technical Fisheries University	University	U81773782
334	Far Eastern State University	University	U9101280
335	Fatz	Company	C27937626
336	Federal University of Technology, Minna	University	U21218406
337	Feedbug	Company	C32829523
338	Feedfire	Company	C78254309
339	Feedfish	Company	C39882311
340	Feedmix	Company	C33976093
341	Feednation	Company	C81717261
342	Feedspan	Company	C10219533
343	Fern-Fachhochschule Hamburg	University	U68689372
344	Ferris State University	University	U44577171
345	Fine Arts Academy in Gdansk	University	U13812214
346	Fine Arts Academy Wladyslaw Strzeminski in Lodz	University	U71719975
347	First Global University to teaching Jainism	University	U41730338
348	Fitchburg State College	University	U36726298
349	Fivebridge	Company	C92306600
350	Fiveclub	Company	C62125147
351	Fivespan	Company	C16559422
352	Flashdog	Company	C50621149
353	Flashspan	Company	C12219993
354	Flipbug	Company	C86754588
355	Flipopia	Company	C7492657
356	Flipstorm	Company	C8362299
357	Fliptune	Company	C94109697
358	Florida Agricultural and Mechanical University	University	U66321439
359	Florida Christian College	University	U11959482
360	Florida Southern College	University	U50282705
361	Foothill-De Anza Community College District	University	U42274767
362	Franciscan School of Theology	University	U21113043
363	Freie Universität Berlin	University	U10997809
364	Fresno City College	University	U32569237
365	Fukuyama University	University	U30852506
366	Gabcube	Company	C88108608
367	Gabspot	Company	C86931733
368	Gabtune	Company	C1040110
369	Gabtype	Company	C66182803
370	Gabvine	Company	C46694462
371	Gandhi Institute of Technology and Managment	University	U72661751
372	Gandhigram Rural Institute	University	U64900996
373	Geba	Company	C25864075
374	Gemsville Technical University	University	U95873036
375	Geneva Business School	University	U49335438
376	Georg-August Universität Göttingen	University	U43090826
377	Georgia Health Sciences University	University	U65947778
378	Georgia Southern University	University	U56215877
379	Georgia State University	University	U91184747
380	Gevee	Company	C36430036
381	Ghazni University	University	U47202970
382	Gigabox	Company	C77769327
383	Gigashots	Company	C85303846
384	Gigazoom	Company	C4870298
385	Gomal University	University	U49031443
386	Gordon Conwell Theological Seminary	University	U94147861
387	Government College University Faisalabad	University	U35430167
388	Graduate University for Advanced Studies	University	U77940863
389	Green Mountain College	University	U82391006
390	Groupe Sup de Co Amiens Picardie	University	U8248231
391	Guangzhou Normal University	University	U19234009
392	Gubkin Russian State University of Oil and Gas	University	U32303832
393	Guilan University	University	U19279966
394	Guizhou Normal University	University	U46928400
395	Gujarat Ayurved University	University	U4031020
396	Gulf University for Science and Technology	University	U56501933
397	Gustavus Adolphus College	University	U54719159
398	Hahnamann Honoeopathic Medical College	University	U6160145
399	Hallym University	University	U98336045
400	Hamdan Bin Mohammed e-University	University	U47161273
401	Hamdard University	University	U88796325
402	Hannibal-Lagrange College	University	U63264310
403	Hanoi University of Architecture	University	U77349627
404	Hanoi University of Civil Engineering	University	U69992570
405	Hansei University	University	U43739543
406	Harbin Normal University	University	U10509026
407	Harran University	University	U59167498
408	Hebrew College	University	U65902801
409	Hellenic Army Academy	University	U25387274
410	Helsinki School of Economics and Business Administration	University	U36418572
411	Hesser College	University	U39877747
412	Higher School o Business in Tarnow	University	U86207313
413	Hillsdale College	University	U29593819
414	Himeji Institute of Technology	University	U68016454
415	Hiroshima International University	University	U95389406
416	Hiroshima Kokusai Gakuin University	University	U9609809
417	Ho Chi Minh City University of Architecture	University	U79027507
418	Ho Chi Minh City University of Economics	University	U38763951
419	Hobe Sound Bible College	University	U65002593
420	Hogeschool Utrecht	University	U47020869
421	Hokkaido Institute of Technology	University	U8444889
422	Hokkaido Tokai University	University	U5908401
423	Hokuriku University	University	U18294621
424	Hope College	University	U81506967
425	Huafan University	University	U14505296
426	Hue University of Agriculture and Forestry 	University	U83132304
427	Hungarian Academy of Craft and Design	University	U23116696
428	Huntington College	University	U60618772
429	Huron University	University	U50138440
430	Huron University USA in London	University	U89310174
431	Husson College	University	U32541486
432	ITT Technical Institute Indianapolis	University	U46995417
433	Iasar University	University	U58289141
434	Ibn Sina University	University	U6897594
435	Iglobal University	University	U37588929
436	Ilam University	University	U30372590
437	Illinois State University	University	U27932527
438	Ilsa Independent College	University	U55204169
439	Imam Sadiq University	University	U79119490
440	Inchon University	University	U52243439
441	Indian Institute of Technology, Roorkee	University	U92650555
442	Indiana Institute of Technologyy	University	U48051542
443	Indiana University - East	University	U87045799
444	InnoZ	Company	C28392238
445	Innojam	Company	C34056506
446	Innotype	Company	C55698061
447	Inoorero University	University	U31676184
448	Institue of Historical Research, University of London	University	U88561760
449	Institut Sains dan Teknologi Al Kamal	University	U19380483
450	Institut Supérieur de Commerce et d'Administration des Entreprises	University	U5376516
451	Institut d'Etudes Politiques de Paris (Sciences Po)	University	U13323468
452	Institut des Sciences de l'Ingénieur de Montpellier	University	U78449229
453	Institute of Advanced Legal Studies, University of London	University	U75342348
454	Institute of Business & Technology	University	U75182826
455	Institute of Commonwealth Studies, University of London	University	U48595842
456	Institute of Management & Enteurpreneurship of South East Europe	University	U68834317
457	Institute of Management and Business Technology	University	U98910283
458	Institute of Management and Economy	University	U74386252
459	Institute of Management and Technical Studies 	University	U72186887
460	Instituto Superior Bissaya Barreto	University	U17893738
461	Instituto Superior Novas Profissões - INP	University	U26122013
462	Instituto Superior Politécnico e Universitário	University	U7632350
463	Instituto Universitario CEMA	University	U82673531
464	International Buddhist College	University	U75335107
465	International Christian University	University	U17336868
466	International People's College	University	U19506549
467	International School of Management in Prešov	University	U5679976
468	International University of Kyrgyzstan	University	U8953965
469	International University of Management	University	U74866568
470	Internationle Akademie für Philosophie	University	U79746893
471	Inönü University	University	U5413660
472	Iranian Academy of Persian Language and Literature	University	U18400122
473	Islamic Azad University, Kerman	University	U88128469
474	Islamic Azad University, Majlesi	University	U63287141
475	Islamic Azad University, Qazvin	University	U97456362
476	Islamic University Kushtia	University	U73942307
477	Islamic University of Gaza	University	U52638113
478	Islamic University of Technology	University	U1862730
479	Izio	Company	C44559102
480	Jabberbean	Company	C32640084
481	Jabbercube	Company	C39639031
482	Jabbersphere	Company	C2412756
483	Jabberstorm	Company	C22821261
484	Jabbertype	Company	C63253765
485	Jadavpur University	University	U16224029
486	Jaloo	Company	C53800252
487	Jamestown College	University	U63016311
488	Jamia	Company	C46237093
489	Jatri	Company	C45839804
490	Jaxbean	Company	C32330619
491	Jaxnation	Company	C86745856
492	Jaxspan	Company	C5489601
493	Jaxworks	Company	C64614528
494	Jayo	Company	C14366766
495	Jazzy	Company	C50532217
496	Jetpulse	Company	C93378650
497	Jetwire	Company	C65335226
498	Jikei University School of Medicine	University	U48135551
499	Jobu University	University	U75256141
500	JumpXS	Company	C66251562
501	Kabul Education University	University	U85440035
502	Kaduna State University	University	U66980778
503	Kamba	Company	C90096196
504	Kanazawa University	University	U43640858
505	Kanoodle	Company	C28414215
506	Kansai Gaidai University	University	U59392607
507	Kanto Gakuen University	University	U75639577
508	Karachi Institute of Information Technology	University	U41675023
509	Karachi Medical and Dental College	University	U59564586
510	Kare	Company	C26198581
511	Karnataka State Law University	University	U43423361
512	Kashan University of Medical Sciences	University	U58703130
513	Katz	Company	C68029617
514	Kawasaki Medical School	University	U40278255
515	Kaymbo	Company	C96055467
516	Kayveo	Company	C49901962
517	Kazak National Technical University	University	U76549484
518	Kazio	Company	C87460413
519	Kermanshah University of Technology	University	U18120731
520	Khon Kaen University	University	U19615905
521	Kibi International University	University	U51078523
522	Kimia	Company	C44229542
523	King Mongkut's University of Technology Thonburi	University	U19662371
524	King's College	University	U77659387
525	Kingston College	University	U57432132
526	Kiriri Womens University of Science and Technology	University	U15525777
527	Knowledge College for Science and Technology	University	U53554822
528	Kobe Pharmaceutical University	University	U12925912
529	Kochi Medical School	University	U30348481
530	Kolej Universiti Insaniah	University	U54797618
531	Konkuk University	University	U20156402
532	Korea Maritime University	University	U18375730
533	Korea National Open University	University	U37628429
534	Koriyama Women's University and College	University	U26409168
535	Kuala Lumpur Metropolitan University	University	U33601035
536	Kuala Terengganu City Polytechnic	University	U67056944
537	Kumasi Polytechnic 	University	U33113177
538	Kurashiki University of Science and the Arts	University	U99006670
539	Kurdistan University of Medical Sciences	University	U61295750
540	Kuvempu University	University	U6479853
541	Kwideo	Company	C97601168
542	Kwilith	Company	C53045445
543	Kwimbee	Company	C11014471
544	Kwinu	Company	C14886294
545	Kyoritsu Woman's University	University	U84917792
546	Kyoto Bunkyo University	University	U74519229
547	Kyungnam University	University	U8396654
548	La Salle University	University	U54616588
549	Laboratory Institute of Merchandising	University	U17803641
550	Langara College	University	U34219243
551	Latz	Company	C95725890
552	Lawrence Technological University	University	U55036510
553	Layo	Company	C20237234
554	Lazarski School of Commerce and Law	University	U36379924
555	Lazzy	Company	C15218168
556	Leading University	University	U27909511
557	Lebanese International University	University	U67262640
558	Lee University	University	U62163379
559	Leenti	Company	C65738576
560	Leexo	Company	C3526101
561	Les Roches International School of Hotel Management	University	U18754240
562	Lesley University	University	U80241387
563	Lewis and Clark College	University	U21319767
564	Lewis-Clark State College	University	U40566925
565	Leyte State University 	University	U62470205
566	Liaoning Technical University	University	U90365167
567	Life Chiropractic College West	University	U3129632
568	Limkokwing University College of Creative Technology	University	U6770411
569	Lingnan University	University	U32543591
570	Linkbuzz	Company	C69938973
571	Linktype	Company	C72831490
572	Linköping University	University	U44462779
573	Lithuania Christian College	University	U8576217
574	Lithunian University of Agriculture	University	U5001774
575	Lithunian Veterinary Academy	University	U88471129
576	LiveZ	Company	C79292225
577	Livefish	Company	C50487487
578	Livetube	Company	C95660451
579	Livingstone College	University	U23503589
580	Lock Haven University of Pennsylvania	University	U31499775
581	Loma Linda University	University	U83615421
582	Lutheran School Of Theology In Aarhus	University	U71468993
583	Luxun Academy of Fine Art	University	U99389901
584	Lyndon State College	University	U63504456
585	MGH Institute of Health Professions	University	U92661165
586	Maharaja Sayajirao University of Baroda	University	U23150243
587	Mahatma Gandhi University Meghalaya 	University	U61903861
588	Maine Maritime Academy	University	U40651102
589	Malaysia University of Science and Technology (MUST)	University	U58478167
590	Mandalay Technological University	University	U27091191
591	Manhattanville College	University	U43559332
592	Marian College	University	U25724340
593	Maritime University Constanta	University	U68887464
594	Martin Luther College	University	U17908223
595	Martin Methodist College	University	U2797508
596	Martin-Luther Universität Halle-Wittenberg	University	U14376803
597	Marycrest International University	University	U64076416
598	Massachusetts College of Liberal Arts	University	U55559028
599	Medical College of Georgia	University	U47587047
600	Medical University of Sofia	University	U68455149
601	Meedoo	Company	C31618613
602	Meemm	Company	C59301675
603	Meetz	Company	C64635104
604	Meevee	Company	C10008324
605	Meeveo	Company	C65551500
606	Meezzy	Company	C3370255
607	Mercer University, Cecil B. Day Campus	University	U92555903
608	Merrimack College	University	U90517257
609	Miami University of Ohio - Middletown	University	U61304122
610	Miboo	Company	C31090154
611	Midel	Company	C54153342
612	Military University Shoumen	University	U24418009
613	Millersville University of Pennsylvania	University	U83808789
614	Mills College	University	U28280876
615	Milwaukee Institute of Art and Design	University	U50163081
616	Minnesota Bible College	University	U36782623
617	Minnesota School of Professional Psychology	University	U36054669
618	Minyx	Company	C61137197
619	Mississippi Valley State University	University	U81007616
620	Mita	Company	C17233901
621	Miyazaki Medical College	University	U74688959
622	Mokpo National University	University	U84600837
623	Moldova Cooperative Trade University	University	U43728977
624	Montreat College	University	U6116710
625	Moorhead State University	University	U55242099
626	Moscow International Higher Business School (MIRBIS)	University	U24167259
627	Moscow Power Engineering Institute (Technical University)	University	U86589800
628	Moscow State University of Ecological Engineering	University	U15721136
629	Moscow State University of Technology (Stankin)	University	U26821475
630	Moshi University College of Cooperative and Business Studies	University	U99018427
631	Mount Aloysius College	University	U50090789
632	Mountains of the Moon University	University	U83419292
633	Mudo	Company	C35554864
634	Multimedia University	University	U97259388
635	Murmansk State Technical University	University	U82553955
636	"Music Academy ""Stanislaw Moniuszko"" in Gdansk"	University	U62695090
637	Muxo	Company	C72220694
638	Myanmar Aerospace Engineering University	University	U76745524
639	Mybuzz	Company	C71672656
640	Mycat	Company	C4114982
641	Mydeo	Company	C55953271
642	Mydo	Company	C8855009
643	Mymm	Company	C60817554
644	Mynte	Company	C87455842
645	Myworks	Company	C64173437
646	Märkische Fachhochschule Iserlohn	University	U15741146
647	NAES College	University	U29028208
648	NTB Interstate University of Applied Sciences of Technology	University	U89223368
649	Nagoya University	University	U83876573
650	Nagoya University of Commerce and Business Administration	University	U33571500
651	Nairobi Institute of Business Studies 	University	U10797159
652	Nairobi Technical Training Institute 	University	U27651498
653	Najran University	University	U43922599
654	Nakamura Gakuen University	University	U90616785
655	Nakhchivan Private University	University	U81208337
